priority,priority_note,is_positive_control,control_name,molecule_chembl_id,molecule_pref_name,max_phase,canonical_smiles,rank_overall,potency_band,pactivity_median,pactivity_max,potency_nm_min,direction,has_efficacy_corroboration,efficacy_fold_max,efficacy_pct_max,evidence_level,n_assays,n_docs,flags,murcko_scaffold,scaffold_cluster_size,is_scaffold_representative
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL2315024,,,COC[C@H](C)Oc1cc(/C=C/c2cc(F)ccc2F)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,334,6.5–7.0（0.1–0.32 µM）,6.87,6.87,134.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1ccccn1)c1cccc(C=Cc2ccccc2)c1,10,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL1783753,,,CS(=O)(=O)c1cc(=O)n([C@@H](CC2CCCC2)C(=O)Nc2ccc(Cl)cn2)cc1Cl,339,6.5–7.0（0.1–0.32 µM）,6.85,6.85,140.0,activation_by_potency,FALSE,,82.0,中,2,1,,O=C(Nc1ccccn1)C(CC1CCCC1)n1ccccc1=O,11,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL4206729,,,CCS(=O)(=O)c1ccc(Oc2cc(OC(C)COC)cc(C(=O)Nc3nc4c(s3)CN(C(=O)OC(C)(C)C)CC4)c2)cc1,340,6.5–7.0（0.1–0.32 µM）,6.85,6.85,140.0,activation,TRUE,2.37,,中,2,1,,O=C(Nc1nc2c(s1)CNCC2)c1cccc(Oc2ccccc2)c1,12,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL4549950,,,CNC(=O)Nc1cc(Oc2cncc(C)c2)c([C@H]2C[C@@H]2CO)cn1,347,6.5–7.0（0.1–0.32 µM）,6.83,6.89,130.0,activation_by_potency,FALSE,1.0,,中,4,1,,c1cncc(Oc2ccncc2C2CC2)c1,2,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3764630,,,COC(=O)/C=C/c1cnc2[nH]c(/C(=C/C3CCCC3)c3ccc(S(C)(=O)=O)c(Cl)c3)cc2c1,348,6.5–7.0（0.1–0.32 µM）,6.83,6.83,148.0,activation,TRUE,,133.9,中,2,1,,C(=C(c1ccccc1)c1cc2cccnc2[nH]1)C1CCCC1,6,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL573072,,,COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)N(C)CCO)cc3)sc2n1,350,6.5–7.0（0.1–0.32 µM）,6.83,6.83,147.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1nc2cccnc2s1)C(CC1CCCC1)c1ccccc1,11,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL4639192,,,Cc1ncccc1Oc1cc(Sc2ccccn2)cnc1Nc1nc(C2CCN(S(C)(=O)=O)CC2)ns1,351,6.5–7.0（0.1–0.32 µM）,6.825,7.48,33.0,activation_by_potency,FALSE,,,中,2,1,跨 assay 效力分歧（极差 1.31）,c1ccc(Sc2cnc(Nc3nc(C4CCNCC4)ns3)c(Oc3cccnc3)c2)nc1,3,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL4518905,,,CNC(=O)Nc1cc(Oc2c(F)cccc2F)c(-c2ccc(OC)nc2)cn1,352,6.5–7.0（0.1–0.32 µM）,6.825,7.44,36.0,activation_by_potency,FALSE,,,中,4,1,跨 assay 效力分歧（极差 1.23）,c1ccc(Oc2ccncc2-c2cccnc2)cc1,4,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL489335,,,Cc1csc(NC(=O)c2cc(Sc3nccn3C)ccc2N)n1,353,6.5–7.0（0.1–0.32 µM）,6.82,7.0,100.0,activation,TRUE,8.0,,中,4,1,,O=C(Nc1nccs1)c1cccc(Sc2ncc[nH]2)c1,4,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL2408131,,,CCS(=O)(=O)c1ccc(Oc2cc(O[C@@H](C)CO)cc(-c3nccc(=O)[nH]3)c2)cc1,354,6.5–7.0（0.1–0.32 µM）,6.82,6.82,150.0,activation_by_potency,FALSE,,,中,3,1,,O=c1ccnc(-c2cccc(Oc3ccccc3)c2)[nH]1,12,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3218485,,,CCN(C)C(=O)c1cnc(Oc2cc(C(=O)Nc3cnc(C)cn3)cc3oc(C)cc23)cn1,355,6.5–7.0（0.1–0.32 µM）,6.82,6.82,153.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1cnccn1)c1cc(Oc2cnccn2)c2ccoc2c1,7,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL574884,,,Cn1ccc(Nc2ncnc3ccc(Oc4c(Cl)cccc4S(C)(=O)=O)cc23)n1,357,6.5–7.0（0.1–0.32 µM）,6.8,7.1,80.0,activation,TRUE,0.92,,中,4,1,,c1ccc(Oc2ccc3ncnc(Nc4cc[nH]n4)c3c2)cc1,10,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL1164578,,,CC(C)c1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,359,6.5–7.0（0.1–0.32 µM）,6.8,6.8,157.0,activation,TRUE,2.97,,强,4,2,1 条 potential_duplicate,O=C(Nc1nccs1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,15,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL1165587,,,C=C(C)c1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,360,6.5–7.0（0.1–0.32 µM）,6.8,6.8,158.0,activation,TRUE,2.4,,中,2,1,,O=C(Nc1nccs1)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,15,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL1778365,,,COC[C@H](C)Oc1cc(Oc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,361,6.5–7.0（0.1–0.32 µM）,6.8,6.8,160.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1ccccn1)c1cccc(Oc2ccccc2)c1,11,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL1783744,,,Cc1ccc(NC(=O)[C@H](CC2CCCC2)n2cc(C)c(S(=O)(=O)C(C)C)cc2=O)nc1,362,6.5–7.0（0.1–0.32 µM）,6.8,6.8,160.0,activation_by_potency,FALSE,,48.0,中,2,1,,O=C(Nc1ccccn1)C(CC1CCCC1)n1ccccc1=O,11,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL3221489,,,Cc1ccc(NC(=O)[C@H](COC(C)C)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,368,6.5–7.0（0.1–0.32 µM）,6.8,6.8,158.49,activation_by_potency,FALSE,,,强,2,2,1 条 potential_duplicate,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,21,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL5088522,,,CCOP(=O)(Cn1ccc(NC(=O)c2cc(Oc3cnc(S(C)(=O)=O)cn3)cc(OC(C)C)c2)n1)OCC,373,6.5–7.0（0.1–0.32 µM）,6.8,6.8,159.0,activation,TRUE,,217.0,中,2,1,,O=C(Nc1cc[nH]n1)c1cccc(Oc2cnccn2)c1,4,FALSE
P4,备查：效力 ≥6.0 但非骨架代表，是已入选骨架的同系物,FALSE,,CHEMBL559851,,,O=C(Nc1nccs1)c1nc(Sc2nnc[nH]2)ccc1Sc1ccc(C(F)(F)F)cc1,374,6.5–7.0（0.1–0.32 µM）,6.8,6.8,160.0,activation_by_potency,FALSE,,,弱,1,1,,O=C(Nc1nccs1)c1nc(Sc2nnc[nH]2)ccc1Sc1ccccc1,11,FALSE
