molecule_chembl_id,molecule_pref_name,assay_chembl_id,activity_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,metric_role,metric_scale,value_nm,pactivity,role_rule,glucose_mM_parsed,activity_comment,potential_duplicate,doc_chembl_id,doc_year,src_short_name,assay_description
CHEMBL1821907,,CHEMBL1825592,6351586,Ratio,=,1.02,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,20,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 20 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821907,,CHEMBL1825593,6352521,Ratio,=,0.012,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821908,,CHEMBL1825590,6351455,Ratio,=,2.12,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821908,,CHEMBL1825591,6351521,Ratio,=,0.287,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821908,,CHEMBL1825592,6351587,Ratio,=,1.06,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,20,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 20 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821908,,CHEMBL1825593,6352522,Ratio,=,0.038,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821909,,CHEMBL1825590,6351456,Ratio,=,2.22,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821909,,CHEMBL1825591,6351522,Ratio,=,0.312,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821909,,CHEMBL1825592,6351588,Ratio,=,1.37,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in treated to untreated control」,20,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 20 mM glucose measured as ratio of enzyme activation in treated to untreated control by G6PDH coupled continuous spectrophotometric assay
CHEMBL1821909,,CHEMBL1825593,6352523,Ratio,=,0.231,,,efficacy,fold,,,自由文本指标 Ratio 受限提升为效能(fold)，描述命中：「ratio of enzyme activation in compound treated」,5,,0,CHEMBL1821720,2011,LITERATURE,Activation of human recombinant glucokinase expressed in Escherichia coli coexpressing G6PDH at 10 uM using 5 mM glucose measured as ratio of enzyme activation in compound treated to Ro-28-1675 by G6PDH coupled continuous spectrophotometric assay
