patent_id,patent_number,country,publication_date,family_id,title,surface_forms,n_mentions,hit_clms
24059487,EP-2849776-B1,EP,2021-04-21,48576527,GLUCOKINASE ACTIVATOR COMPOSITIONS FOR THE TREATMENT OF DIABETES,"[""glucokinase regulatory protein""]",2,
13773049,EP-2902390-A1,EP,2015-08-05,50387521,NOVEL PHENYLACETAMIDE COMPOUND AND PHARMACEUTICAL CONTAINING SAME,"[""GKRP"", ""glucokinase regulatory protein""]",6,
20504301,EP-2902390-B1,EP,2019-04-24,50387521,NOVEL PHENYLACETAMIDE COMPOUND AND PHARMACEUTICAL CONTAINING SAME,"[""GKRP"", ""glucokinase regulatory protein""]",6,
17905129,EP-2931897-B1,EP,2017-11-01,49883289,"DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION AND THERAPEUTIC APPLICATIONS","[""Glucokinase (hexokinase 4) regulator""]",1,
23002425,EP-2978840-B1,EP,2020-09-30,50685978,A HUMAN BLOOD-BRAIN BARRIER MODEL DERIVED FROM STEM CELLS,"[""Glucokinase (hexokinase 4) regulator""]",1,
15046154,EP-3003299-A2,EP,2016-04-13,51989511,NOVEL N-3 IMMUNORESOLVENTS: STRUCTURES AND ACTIONS,"[""glucokinase regulatory protein""]",1,
24494208,EP-3003299-B1,EP,2021-07-14,51989511,NOVEL N-3 IMMUNORESOLVENTS: STRUCTURES AND ACTIONS,"[""glucokinase regulatory protein""]",1,
15085000,EP-3009511-A2,EP,2016-04-20,55274964,NOVEL CRISPR ENZYMES AND SYSTEMS,"[""Glucokinase (hexokinase 4) regulator""]",1,
17006042,EP-3009511-B1,EP,2017-05-31,55274964,NOVEL CRISPR ENZYMES AND SYSTEMS,"[""Glucokinase (hexokinase 4) regulator""]",1,
23607187,EP-3009511-B2,EP,2021-01-27,55274964,NOVEL CRISPR ENZYMES AND SYSTEMS,"[""Glucokinase (hexokinase 4) regulator""]",1,
15120421,EP-3011032-A1,EP,2016-04-27,52105123,"DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR TARGETING AND MODELING DISEASES AND DISORDERS OF POST MITOTIC CELLS","[""Glucokinase (hexokinase 4) regulator""]",1,
